City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Foumban,CM,2020-09-07 19:45:12,5.73,10.9,64.4,96,96,1.28
1,Sinnamary,GF,2020-09-07 19:45:13,5.38,-52.95,82.2,83,63,10.47
2,Albany,US,2020-09-07 19:50:03,42.6,-73.97,79.0,52,19,12.17
3,Talcahuano,CL,2020-09-07 19:51:42,-36.72,-73.12,55.4,66,75,5.82
4,Sao Joao Da Barra,BR,2020-09-07 19:45:14,-21.64,-41.05,82.4,61,0,12.75
5,Acapulco,MX,2020-09-07 19:47:30,16.86,-99.89,86.0,74,40,11.41
6,Sola,VU,2020-09-07 19:51:43,-13.88,167.55,79.23,82,80,22.01
7,Ushuaia,AR,2020-09-07 19:45:15,-54.8,-68.3,46.4,61,75,12.75
8,Bluff,NZ,2020-09-07 19:51:44,-46.6,168.33,45.0,72,14,11.01
9,Qaanaaq,GL,2020-09-07 19:51:45,77.48,-69.36,24.24,80,15,7.45
10,Rikitea,PF,2020-09-07 19:51:45,-23.12,-134.97,73.15,84,6,12.53
11,Butaritari,KI,2020-09-07 19:51:46,3.07,172.79,83.05,73,35,8.21
12,Cabo San Lucas,MX,2020-09-07 19:51:08,22.89,-109.91,86.0,70,75,8.05
13,Adamovka,RU,2020-09-07 19:51:47,51.52,59.94,56.59,70,1,4.65
14,Raga,SS,2020-09-07 19:51:48,8.46,25.68,67.51,94,54,3.47
15,Fortuna,US,2020-09-07 19:51:48,40.6,-124.16,75.2,57,20,11.41
16,Port Lincoln,AU,2020-09-07 19:51:48,-34.73,135.87,57.09,78,100,9.55
17,Petatlan,MX,2020-09-07 19:51:49,17.52,-101.27,89.6,66,75,6.93
18,Yushu,CN,2020-09-07 19:51:49,44.8,126.53,62.26,97,100,23.44
19,Miguel Hidalgo,MX,2020-09-07 19:51:50,19.42,-99.2,71.6,46,75,9.17
20,Araouane,ML,2020-09-07 19:51:50,18.9,-3.53,102.29,16,96,8.59
21,Barrow,US,2020-09-07 19:50:27,71.29,-156.79,37.4,86,90,16.11
22,Dikson,RU,2020-09-07 19:51:51,73.51,80.55,42.91,84,100,17.67
23,Sarkand,KZ,2020-09-07 19:51:51,45.41,79.92,48.13,47,0,4.29
24,Itaituba,BR,2020-09-07 19:51:52,-4.28,-55.98,95.0,47,20,4.7
25,Punta Arenas,CL,2020-09-07 19:48:56,-53.15,-70.92,44.6,81,100,8.05
26,Puerto Ayora,EC,2020-09-07 19:51:52,-0.74,-90.35,77.0,61,40,12.75
27,Arraial Do Cabo,BR,2020-09-07 19:51:53,-22.97,-42.03,78.8,73,40,8.05
28,Rawson,AR,2020-09-07 19:51:53,-43.3,-65.1,66.43,33,24,26.91
29,Republic,US,2020-09-07 19:51:54,37.12,-93.48,91.99,49,1,16.11
30,Cap Malheureux,MU,2020-09-07 19:51:54,-19.98,57.61,72.0,86,89,5.99
31,Wanning,CN,2020-09-07 19:51:55,18.8,110.4,81.95,86,96,6.2
32,Saint Anthony,US,2020-09-07 19:51:56,45.02,-93.22,57.2,54,90,6.93
33,Bengkulu,ID,2020-09-07 19:51:56,-3.8,102.27,75.9,88,35,6.98
34,Georgetown,MY,2020-09-07 19:48:40,5.41,100.34,80.01,94,20,4.52
35,Morant Bay,JM,2020-09-07 19:51:57,17.88,-76.41,87.8,70,20,14.99
36,Birobidzhan,RU,2020-09-07 19:51:57,48.8,132.95,63.19,94,100,12.26
37,Bredasdorp,ZA,2020-09-07 19:51:57,-34.53,20.04,59.0,93,0,10.29
38,Vaini,TO,2020-09-07 19:51:59,-21.2,-175.2,69.8,83,75,6.93
39,Lompoc,US,2020-09-07 19:49:02,34.64,-120.46,84.2,45,1,9.17
40,Hermanus,ZA,2020-09-07 19:51:59,-34.42,19.23,60.01,81,0,1.99
41,Kaka,TM,2020-09-07 19:52:00,37.35,59.61,60.6,28,0,3.27
42,Kodiak,US,2020-09-07 19:52:00,57.79,-152.41,57.2,62,1,11.41
43,Port Alfred,ZA,2020-09-07 19:52:00,-33.59,26.89,61.68,88,4,8.5
44,Tuktoyaktuk,CA,2020-09-07 19:52:01,69.45,-133.04,46.4,87,90,12.75
45,East London,ZA,2020-09-07 19:52:03,-33.02,27.91,65.01,80,65,5.06
46,Lazaro Cardenas,MX,2020-09-07 19:52:04,17.96,-102.2,84.6,72,6,8.77
47,Bethel,US,2020-09-07 19:52:05,41.37,-73.41,78.01,53,1,13.87
48,Mataura,NZ,2020-09-07 19:52:06,-46.19,168.86,45.0,72,8,11.01
49,Berezovyy,RU,2020-09-07 19:52:07,51.67,135.7,57.11,89,100,2.73
50,Khatanga,RU,2020-09-07 19:52:07,71.97,102.5,41.31,76,0,8.12
51,Avera,US,2020-09-07 19:52:08,33.19,-82.53,86.0,48,75,6.93
52,Abu Dhabi,AE,2020-09-07 19:52:09,24.47,54.37,91.4,70,0,6.93
53,Coihaique,CL,2020-09-07 19:52:09,-45.58,-72.07,59.0,38,75,9.17
